utt,spk,cond,hyp
p00_u02,p00,taps,도시철도는 정원 백 이십 명인 한칸 사나의 백 팔십 명의 삼승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u02,p00,ce0.0,도시철도는 병원 백 이십 명인 한칸 차량의 백 팔십 명이 탐승했을 경우 혼잡한 상태로 승무원는 관리가 필요하다
p00_u02,p00,ce0.1,도시철도는 정원 백 이십 명인 한칸 사나에 백 팔십 명이 탐승했을 경우 혼잡한 상태로 승무원는 관리가 필요하다
p00_u02,p00,ce0.5,도시철도는 병원 백 이심 명인 한칸 사나의 백 팔십 명의 탐승했을 경우 혼잡한 상태로 승무원는 관리가 필요하다
p00_u02,p00,ce1.0,독기철도는 병원 백 이십 명인 한칸 사나의 백 팔십 명의 탄상했을 경우 혼잡한 상태로 승무원는 관리가 필요하다
p00_u02,p00,ce2.0,독시 철도는 병원 백 이십 명인 한칸 사나에 백 팔십 명의 탐했을 경우 혼자한 상태로 승무원에 관리가 필요하다
p00_u02,p00,ce5.0,도시철도는 병원 백 이십 명인 한칸 사장에 백 팔십 명의 탄상해 을경우 혼자한 상태로 송무원에 관리가 필요하다
p00_u02,p00,ce10.0,도시철도는 병원 백 이십 명인 한칸 사항에 백 팔십 명의 삼승했을 경우 혼잡한 상태로 승무원의 관리가 필요하다
p00_u03,p00,taps,부산시는 출택근 시간 최대 순간 손자도가 백 이십 퍼센트 네외 수준으로 수도권간 달리 승찰이 크기 어려움을 확지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce0.0,부산시는 출택근 시간 최대 순간 환자도가 백 이십 퍼센트 네외 수준으로 수도권과 달리 승찰 크기 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce0.1,부산시는 출택근 시간 최대 순간 환자도가 백 이십 퍼센트 네외 수준으로 수속권과 달리 승찰 크기 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce0.5,부사시는 출택근 시간 최대순간 환력도가 백 이십 퍼센트 네외 수준으로 수도권과 달리 승찰의 크게 어려움을 찾지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce1.0,부산피는 출택근 시간 최대 순간 환력도가 백 이십 퍼센트 네외 수균으로 수도공간 달리 승찰 크기 어려움을 퍼지 안는 수균에서 안전하게 관리되고 있다
p00_u03,p00,ce2.0,부산시는 출택균시간 최대순간 혼자도가 백 이십 퍼센트 네외 수준으로 수도공간 달리 승찰 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce5.0,부산시는 출택근 시간 최대 순간 환자도가 백 이십 퍼센트 액의 수준으로 수도공간 달리 승찰의 크게 어려움을 겪지 않는 수준에서 안전하게 관리되고 있다
p00_u03,p00,ce10.0,부산시는 슐택그 시간 최대 순간 훈자보가 백 이십 퍼센트 네외 수준으로 수도공간 달리 승찰 크기 어려움을 겪지 안는 수준에서 안전하게 관련되고 있다
p00_u04,p00,taps,팀는 최근 빅기했을 공영과 같이 일시적으로 혼자도 상승이 예상되는 행사는 빈차 추가투이 무정차 은행 등으로 혼자도를 해소하기로 했다
p00_u04,p00,ce0.0,이는 최근 빅기했을 공염과 같이 일시적으로 혼자도 상승히 예상되는 행사는 빈찰추가트 무정차 은행 등으로 혼자도를 해소하기로 했다
p00_u04,p00,ce0.1,씨는 최근 빅기했을 공영과 같이 일시적으로 혼자도 상승이 예상되는 행사는 빈사추가 투입 무정차 은행 등으로 혼작도를 해소하기로 했다
p00_u04,p00,ce0.5,팀는 최근 빅기했스 공영과 같이 일시적으로 혼자도 상승히 예상되는 행사는 빈탁 추가트 무상차 운행등으로 혼격도를 해소하기로 했다
p00_u04,p00,ce1.0,이는 최근 빅크액트 공영과 같이 을기적으로 혼자도 상용히예상 매는 행사는 빈찰추가 트입 우병차 운행 등으로 혼격도를 해소하기로 했다
p00_u04,p00,ce2.0,팀는 최근 빅기했트 공영과 같이 일실적으로 혼자도 상승이 예상배는 행사는 빈터 추가 트입 무상차 운행 등으로 혼자도를 해소하기로 했다
p00_u04,p00,ce5.0,히는 최근 피기했스 공영과 같고 을실적으로 혼자도 상승입예상되는 행사는 빈찰추가 급의 우병차 은행 등으로 혼자도를 해소하기로 했다
p00_u04,p00,ce10.0,팀는 최근 피피했을 공영과 같이 을수적으로 혼자도 상승입 예상되는 행사는 빈찰추가트입 유병차 운행 등으로 혼잡도를 해소하기로 했다
p00_u05,p00,taps,또 현재 운영되고에 있는 부상 교통 공사 은행 관제 현장 조치 메뉴할 등 관련 메뉴을 전난 재검점에 안전관리를 기속적으로 해나할 방침이다
p00_u05,p00,ce0.0,또 현재 운영되고에 있는 부상 교통공사 운행 관제 현장 수치 메뉴얼 등 관련 메뉴원을 전난 재검 점에 안전 관리를 기속적으로 해나할 방침이다
p00_u05,p00,ce0.1,또 현재 운영 대구에 있는 부상교통 공사 은행 관제 현장 조치 메뉴할 등 관련 메뉴을 전난 재검점의 안전 관리를 기속적으로 해나할 방침이다
p00_u05,p00,ce0.5,또 현재 운영 대구에 있는 부상 교통공사 은행 관제 현장 조치메뉴얼 등 관련 메뉴얼을 전면 대검점의 안전 관리를 기속적으로 해나할 방침이다
p00_u05,p00,ce1.0,또 현재 운영 대국 있는 부상 교통 공사 은행 관대 현장 교치메뉴 등 관련 메뉴원을 전면 대검점에 안전관리를 기속적으로 해나할 방침이다
p00_u05,p00,ce2.0,또 현재 운영 대구에 있는 부상교통공사 은행 관제 현장 교치 메뉴얼 등 관련 맨뉴원을 전은 대검 점의 안전 관리를 지속적으로 해나할 방침이다
p00_u05,p00,ce5.0,또 현재 운영 대부 있는 부상교품 공사 은행 관제현장 교치메뉴원 등 관련 매뉴원을 전은 대검점의 안전관리를 기속적으로 해나할 방침이다
p00_u05,p00,ce10.0,또 한재 운영 대부이 있는 부상교품 공사 은행 관제 현장 교치메뉴얼 등 반련 맹뉴주원을 전은 대검점인 안전관리를 기속적으로 해나간 방침이다
p00_u06,p00,taps,시의마을박스는 출택근 시간대 일부 노선을 제외하고는 대부분의 노선히 혼적도가 낮자 현재는 승하차의 어려운없이 안전하게 관리되고 있다
p00_u06,p00,ce0.0,시내 마을버스는 출택근 시간대 일부 노선을 제외하고는 대부분의 노선히 혼적도가 낮자 현재는 승하차의 어려운없이 안전하기 관리되고 있다
p00_u06,p00,ce0.1,시의마을박스는 출택근 시간대 일부 노선을 제외하고는 대부분의 노선히 혼적도가 낮자 현재는 승하차의 어려 없이 안전하게 관리되고 있다
p00_u06,p00,ce0.5,히날 마을더스는 출택근 시간때 일부 노선을 제외하고는 대부분의 노선이 혼적도가 나자 현재는 생활차의 어려 없이 안전하기 관리되고 있다
p00_u06,p00,ce1.0,피날마을버스는 출택근 시간때 일부 노선을 대외하고는 대부분의 노선히 혼적도가 낮자 현재는 승활타의 어려 없이 안전하게 관리되고 있다
p00_u06,p00,ce2.0,신의 마을버스는 출택근 시간에 일부 노선을 제외하고는 대부분의 노선히 혼잡도가 나자 현재는 생활타의 어려운 없이 안전하게 관리되고 있다
p00_u06,p00,ce5.0,히날마을버스는 슐택근 시간대 일부 노선을 제외하고는 대부분의 노선히 혼자도가 나라 현재는 홍하차의 어려운 없이 안전하게 관리되고 있다
p00_u06,p00,ce10.0,히네마을버스는 출택근 휴간때 일부 노선을 대외하고는 대부분의 노선히 혼자도가 나자 현재는 홍활탄의 어려 없이 안전하게 관리되고 있다
p00_u07,p00,taps,앞으로 시는 이천 이십 삼 년 하반기 중 사차태의 의무제를 도입해 버스에 제차 인원 정보를 파악해 탑승 인원을 실시간 수십팔 계획이다
p00_u07,p00,ce0.0,앞으로 시는 이천 이십 삼 년 하반기 중 하 차택의 의무제를 도입해 버스에 제차 인원 정보를 파악해 탑승 인원을 실시간 수십팔 계획이다
p00_u07,p00,ce0.1,앞으로 시는 이천 이십 삼 년 하반기 중 사차택그 의무제를 도입해 버스에 제차 인원 정보를 파악해 탑승 인원을 실시간 수입할 계획이다
p00_u07,p00,ce0.5,앞으로 히는 이천 이십 삼 년 하반기 중 한차택의 의무제를 도입해 버스에 제차 인원 정보를 파악해 합승 인원을 실시간 수십팔 계획이다
p00_u07,p00,ce1.0,앞으로 히는 육천 이십 삼 년 하반기 중 하차태의 의무기를 도입해 버스에 절차인원정보를 파악해 합등 인원을 실시간 수지판 계획이다
p00_u07,p00,ce2.0,앞으로 피는 이천 이십 삼 년 하반기 중 한차태의 의무제를 도입해 버스해 절차인원 정보를 파악해 합종 인원을 실시간 수지판 계획이다
p00_u07,p00,ce5.0,앞으로 시는 이천 이십 삼 년 하반기 중 한차태의 의무제를 도입해 버스에 제차 인원 정보를 파악해 합승 인원을 실시간 수지판 계획이다
p00_u07,p00,ce10.0,앞으로 히는 이편 이십 삼 년 하반기 중 한타태의 의무기를 도입해 버스에 대차인원 정보를 파악해 합승인원을 실시간 수입판 계획이다
p00_u08,p00,taps,이를 통해 버스는 혼자도 정보를 버스 정부 안내기 스마트폰 등을 통해 이용 시민들에게 대공할 계획이다
p00_u08,p00,ce0.0,이를 통해 버스는 혼자도 정보를 버스 정부 안내 기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다
p00_u08,p00,ce0.1,이를 통해 버스는 혼잡도 정보를 버스 정부 안내기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다
p00_u08,p00,ce0.5,이를 통해 버스는 혼잡도 정보를 버스 정부 안내 이 스마트폰 등을 통해 의용 시민들에게 제공할 계획이다
p00_u08,p00,ce1.0,이를 통해 버스해 혼잡도 정보를 버스 정부 안내이 스마트폰 등을 통해 이용 시민들에게 대공할 계획이다
p00_u08,p00,ce2.0,이를 통해 버스해 혼잡도 정보를 버스 정부 안내이 스마트폰 등을 통해 이용 시민들에게 대공할 계획이다
p00_u08,p00,ce5.0,이를 통해 버스의 혼자뼈 정보를 버스 정부 안내 뒤 스마트폰 등을 통해 이용 시민들에게 대공할 계획이다
p00_u08,p00,ce10.0,이를 통해 버스의 혼자뼈 정보를 버스 정부 안내이 스마트폰 등을 통해 이용 시민들에게 대공할 계획이다
p00_u09,p00,taps,원주지는 십 구 일 오후 호조면 사 년이 칠북 케우공원에서 성강 자장 남나문숙 레키 교통책을 개최했다
p00_u09,p00,ce0.0,원주지는 십 구 일 오후 호조면 사 년이 칠북 케우공원에서 서강 사장 나마수 레키 고통식을 개최했다
p00_u09,p00,ce0.1,원주지는 십 구 일 오후 호조면 사 년이 칠북 태우공원에서 서강 사장 남문숙 레키 고통식을 개최했다
p00_u09,p00,ce0.5,원주지는 십 구 일 오후 호조면 사열리 칠북 채우공원에서 한강 가장 나문수 랙키 대통책을 개제했다
p00_u09,p00,ce1.0,원주팀는 십 구 일 오후 호조면 한 년리 칠본 채육공원에서 한강 가장 나습 블랙빈 교통급을 개채했다
p00_u09,p00,ce2.0,원주진는 십 구 일 오후 호조면 사 년리 일본 케공원에서 서강 가장 나무습 랙 대통책을 개퇴했다
p00_u09,p00,ce5.0,원주시는 십 구 일 오후 호조면 한열리 출본북 회공원에서 삼간 가장 마스 블랙키 교통책을 계퇴했다
p00_u09,p00,ce10.0,원주진는 십 구 일 오후 호조면 한년 출본 페육공원에서 서강 가장 나선습 래겐 고통식을 제쇄했다
p00_u10,p00,taps,이날 계통된 사쩜 오 키로미터 규모의 둘래길은 대크결과 휴계 공간을 비롯해 수영 삼십 년 이상의 자장 나문과 분란을 이우고 있는 숙등을 가추고 있다
p00_u10,p00,ce0.0,이날 계통된 사쩜 오 키로미터 규모의 둘레길은 백크결과 수계공간을 비롯해 수영 삼십 년 이상의 자장 나무가 분람을 이우고 있는 웃등을 가추고 있다
p00_u10,p00,ce0.1,이날 계통된 사쩜 오 키로미터 규모의 둘래길은 대역결과 스계 공간을 비롯해 수영 삼십 년 이상의 자장 나문가 분랑을 이우고 있는 숙등을 가추고 있다
p00_u10,p00,ce0.5,이날 계통된 사쩜 오 키로미터 규모의 들레길은 백크결과 크계 공간을 비롯해 수영 삼십 년 이상의 가장 나무가 분람을 이우고 있는 습등을 가추고 있다
p00_u10,p00,ce1.0,이날 계통된 사쩜 오 키로미터 규모의 블에길된 택크결과 특계 공간을 비롯해 수영 삼십 년 이상의 가장 나문과 분락을 이르고 있는 습등을 갖추고 있다
p00_u10,p00,ce2.0,이날 계통된 사쩜 오 키로미터 규모의 둘에끼은 대크결과 세계 공간을 비롯해 수영 삼십 년 이상의 자장 나문가 분란을 이고 있는 습등을 갖추고 있다
p00_u10,p00,ce5.0,이날 계통된 사쩜 오 키로미터 규모의 둘에길된 택크결과 독일 공간을 비롯해 수영 삼십 년 이상의 자장 나무가 군람을 이우고 있는 습등을 갖추고 있다
p00_u10,p00,ce10.0,이날 대통된 사쩜 오 키로민터 규모의 블에길은 택대별과 흉일 공간을 비롯해 수영 삼십 년 이상 사장 나문가 군란을 이우고 있는 습등을 가추고 있다
p00_u11,p00,taps,일본체육교원에서 출발해 성당을 따라 걷는 태극기에는 급판과 강이 어울려진 품강을 만끽할 수 있다
p00_u11,p00,ce0.0,일본 체육병원에서 출발해 성당을 따라 걷는 태극길에는 급판과 강이 어울려진 풍강을 만끽할 수 있다
p00_u11,p00,ce0.1,일본 체육병원에서 출발해 성장을 따라 받는 태극길에는 들판과 당이 어울려진 풍강을 만끽할 수 있다
p00_u11,p00,ce0.5,일본 체육교원에서 출발해 현장을 따라 받는 태극기에는 급판과 당이 어울어진 풍강을 만끽한 수 있다
p00_u11,p00,ce1.0,일본 태육교원에서 출반해 현강을 따라 받는 태극기에는 불판과 당이 억울려진 풍강을 만끽할 수 있다
p00_u11,p00,ce2.0,일본 태육교원에서 출발해 성당을 따라 걷는 태극기에는 급판과 당이 오울려진 풍강을 만끽할 수 있다
p00_u11,p00,ce5.0,일본 태육교원에서 출발해 성당을 따아 받는 택극기에는 급판과 강이 오울러진 풍강을 만끽할 수도 있다
p00_u11,p00,ce10.0,일본 태육병원에서 출반해 현강을 따라 받는 태극길에는 불판과 강이 오울러진 풍강을 만끽할 수 있다
p00_u12,p00,taps,이어 간남은 숲을 지나면 고기어 음빛 자태를 뿐내는 자장남은 곤란이 나타난다
p00_u12,p00,ce0.0,이어 단남을 숲을 지나면 고기역 음픽 자태를 뿐내는 자장남은 곤란이 나타난다
p00_u12,p00,ce0.1,이어 단남은 숲을 지나면 고기어 음빛사태를 뿐내는 자장난무 곤란이 나타난다
p00_u12,p00,ce0.5,이어 간남은 숲을 팀나면 고기어 음빛 사태를 뿐내는 자장난은 곤란이 나타난다
p00_u12,p00,ce1.0,이어 단남을 숲을 진나면 고디어 음빛 사태를 뿐내는 가장남은 곤란이 나타난다
p00_u12,p00,ce2.0,이어 단남을 숲을 지나면 고기어 음빛 자태를 뿐내는 가장남은 불란이 나타난다
p00_u12,p00,ce5.0,이어 가남무 숲을 지나면 고기려 음빛 사태를 뿐내는 가장 남무 곤란이 나타났다
p00_u12,p00,ce10.0,이어 단나머 숲풀 빛나면 고디역 음핏 사태를 뿐내는 가장남무 곤란이 나타난다
p00_u13,p00,taps,원주시는 건강객들에게 새로운 홀거리를 대공하기 위해 성강 가장 나무습 돌레끼에 다양한 주제 쇼을 추가 조사하기로 했다
p00_u13,p00,ce0.0,원주진는 관광객들에게 새로운 볼거리를 제공하기 위해 성강 가장 나습 돌레기에 다양한 주제 스을 추가 조성하기로 했다
p00_u13,p00,ce0.1,원주지는 관강객들에게 새로운 골거리를 대공하기 위해 성강 사장 나무습 돌레끼에 다양한 주제 스을 추가 조성하기로 했다
p00_u13,p00,ce0.5,원주시는 관광벽들에게 새로운 홀거리를 제공하기 위해 성강 가장 나무습 돌레끼에 다양한 휴제 스을 추가 조성하기로 했다
p00_u13,p00,ce1.0,원주지는 건강육 들에게 새로운 불거리를 대공하기 위해 성강 가장 나무습 돌레빛에 다양한 휴제의 스을 추가 조성하기로 했다
p00_u13,p00,ce2.0,원주지는 관광객들에게 새로운 홀거리를 대공하기 위해 성강 가장 나무습 돌레끼를 다양한 휴제의 스을 순가 조성하기로 했다
p00_u13,p00,ce5.0,원주시는 관광 벽빼액의 새로운 홀건리를 대공하기 위해 현강 가장 나무습 블레끼에 다양한 주제 스을 추가 조성하기로 했다
p00_u13,p00,ce10.0,원주지는 관광 객들에게 새로운 골거리를 대공하기 위해 한강 가장 나무습 블렉글에 다양한 주제 스을 추가 조성하기로 했다
p00_u14,p00,taps,원착문 원주시장은 피약산 둘랙길 소금산 그랜드베리등과 연기양 관광 크로그램을 운영하는 방안도 검토하고 있다고 말했다
p00_u14,p00,ce0.0,원창문 원주시장은 취약산 둘랙킷 서금산 그랜드베리등과 여기 관광 프로그램을 운영하는 방안도 검토하고 있다고 말했다
p00_u14,p00,ce0.1,원상문 원주시장은 피아산 둘랙길 송금산 그랜드베리등과 영기양 관강 프로그램을 운영하는 방안도 검토하고 있다고 말했다
p00_u14,p00,ce0.5,원창문 원주실장은 취양산 둘레힐 소금산 그랜드베리 룬과 영기 관광 프로그램을 운영하는 방안도 검토하고 있다고 말했다
p00_u14,p00,ce1.0,원착물 원주팀장은 취어단 돌렉킬 소금한 그랜드베리 등과 영양 관광 프로그램을 운영하는 방안도 검토하고 있다고 말했다
p00_u14,p00,ce2.0,원창문 원주주장은 피약산 둘맥길 초금산 그랜드밀리 등과 명기한 관광 프로그램을 운영하는 방안도 검토하고 있다 고 말했다
p00_u14,p00,ce5.0,원창문 원주주장은 피약한 분랙기 로금삼 그랜드베리 룬과 여기 관광 프로그램을 운영하는 방안도 검토하고 있다 고 말했다
p00_u14,p00,ce10.0,원상국 원주수장은 피양산 분랙딜 로금산 그랜드베리 룬과 영기 관광 프로그램을 운영하는 방안도 검토하고 있다 부 말했다
p00_u15,p00,taps,앞서 원주진은 지난해 오 월 백 삼십 구 쩜 미키로미터에 달하는 취약산 블레의 열 한 기코스 전 구간을 개통했다
p00_u15,p00,ce0.0,앞서 원주진은 지난해 오 월 백 삼십 구 쩜 미키로미터에 달하는 시약산 블레의 열 한 기코스 전 구간을 개통했다
p00_u15,p00,ce0.1,앞서 원주진은 지난해 오 월 백 삼십 구 쩜 미키로미터에 달하는 시약산 블레끼 열 한 기코스 전구간을 개통했다
p00_u15,p00,ce0.5,앞서 원주진은 지난해 오 월 백 삼 십 구 쩜 미키로미터에 달하는 취약산 플레길 열 한개코스 전 구간을 발통했다
p00_u15,p00,ce1.0,앞서 원주진은 지난해 오 월 백 삼 께 롯단 미킬로미터에 달하는 시약단 블레길 열 한 킬꽃스 전구간을 개통했다
p00_u15,p00,ce2.0,앞자 원주진은 지난해 오 월 백 삼 십 구 쩜 미킬로미터에 달하는 피약산 블레길 열 한개꽃스 당구간을 개통했다
p00_u15,p00,ce5.0,앞서 원주진은 지난해 오 월 백 삼십 구 쩜 미킬로미터에 달하는 시약산블레의 열 한 개코스 연구간을 발통했다
p00_u15,p00,ce10.0,앞서 원주진는 지난해 오 월 백 삼께 구 쩜 미킬로미터에 달하는 시약산 분렉길 열 한 개코스 전구간을 발통했다
p00_u16,p00,taps,이는 동상노 책끼 인도 두일 얘릴 마약길 등 기전의 길을 연결하고 새로운 기을 내어 다름은 도부여행끼이다
p00_u16,p00,ce0.0,이는 동산로 책질 인도 뚝일 얘길 마약길 등 기전에 기을 연결하고 새로운 지을 내어 다름은 도부여행끼이다
p00_u16,p00,ce0.1,이는 동산노 책끼 인도 육일 얘릴 마약기 등 기전에 길을 연결하고 새로운 지을 내어 다름은 도부여행끼이다
p00_u16,p00,ce0.5,은는 동한로 핵릴 인도 육일 얘길 마약길 등 변에 귀을 연결하고 새로운 길을 내어 다능은 도부여행끼이다
p00_u16,p00,ce1.0,이는 동산로 핵질 인도 육질 얘질 마약 등 비변에 기을 연결하고 새로운 길을 내어 다는은 도부 여행깁이다
p00_u16,p00,ce2.0,이는 동산로 책질 인도 둑일 얘릴 마을 등 기존의 기을 연결하고 새로운 기을 내어 다는은 도부 여행끼이다
p00_u16,p00,ce5.0,이는 동산노 핵길 인도 육일 얘릴 마을일 등 비전에 비를 연결하고 새로운 피을 매어 가능은 도부 여행들이다
p00_u16,p00,ce10.0,이는 동상로 핵질 인도 욕일 얘질 마 등 의변에 글을 연결하고 새로운길을 내어 가능은 토부 여행깁이다
p00_u17,p00,taps,순창군 체유회가 주최하고 순천군 베르민터협회가 주반에 열린 대십 일 일 순천 고출장배 전국 베드민터대회가 상황리에막을 내렸다
p00_u17,p00,ce0.0,순창군 체육회가 주최하고 순창군 새드민터협회가 주반에 열린 제십 일 일 순천 고출장배 전국 베드민턴대회가 상황이에막을 내렸다
p00_u17,p00,ce0.1,순창군 체유계가 주최하고 순천군 베르민터협회가 주반에 열린 백십 일 일 순천 고출장배 전국 베민턴대회가 상황리에막을 내렸다
p00_u17,p00,ce0.5,순창군 새유회가 주최하고 순천군 베르민터협회가 주반에 열린 백십 일 일 순창 보주장배 전국 베민턴대회가 상황능에 막을 내렸다
p00_u17,p00,ce1.0,순창군 태스크가 주최하고 순창군 베르민터협회가 교관에 열린 백십 미 르 순창 고뚜장배 경국 대 민턴대회과 상황내에망을 내렸다
p00_u17,p00,ce2.0,천창군 체육회가 주최하고 순창군 베르민천협회가 주반에 열린 백십 일 일 순천 보주장배 전국 베민턴대회과 상황내에망을 내렸다
p00_u17,p00,ce5.0,손창군 새육계가 주최하고 순창금 베드민터협회가 주반에 열린 백 십 일 일 순차 고주장배 정국 베 민턴대회가 상황내에 망을 내렸다
p00_u17,p00,ce10.0,현창군 새롭회가 주퇴하고 신천군 베드민탄여평가 불가능 열린 백 십 일 에 순상 고천장배 전국 베민턴대회과 현망능막을 내렸났다
p00_u18,p00,taps,순천 국민체 육센터 등 세계 무장에서 전라북도와 순천군이 후원에 지난 육 일부터 이틀 동안 열림터에는 예상보자관은 일 천 여명이 참가해 응기를 실감해했다
p00_u18,p00,ce0.0,순천 국민체육센터 등 세계 무장에서 전라북도와 순천군이 후원에 지난 육 일부터 이틀 중한 열림세에는 예상보자관은 일 천 여명이 참가해 응기를 실감해했다
p00_u18,p00,ce0.1,순천 국민 체육센터 등 세계 무장에서 전라북도와 순천군이 후원에 지난 육 일부터 이틀 동안 열림터에는 예상보자 관은 일 천 여명이 참가해 응기를 실감해했다
p00_u18,p00,ce0.5,순창 국민터 육센터 등 해외 의장에서 전라북도와 순천군이 후원을 지난 육 일부터 이을 동안 열린터에는 예상보담 많은 일 천 여명찬가의 응기를 실간해했다
p00_u18,p00,ce1.0,순창 국민태육센터 등 해외 무량에서 전라북도와 순창군이 후원에 지난 육 일부터 입을 동안 열린대에는 예상보다 많은 일천 여명이 참가의 응비를 실강해했다
p00_u18,p00,ce2.0,순창 국민체육센터 등 세계무장에서 전라북도와 순창군이 후원을 지난 육 일부터 이을동안 열린대에는 예상구다 많은 일 천 여명이 참가의 냉기를 실감해했다
p00_u18,p00,ce5.0,순창 국민체육센터 등 해계 운장에서 전남부동와 순천군이 후원에 지난 육 일부터 이틀 동안 열림터에는 예상보담 안은 일천 여명이 찬가의 응길를 실감해했다
p00_u18,p00,ce10.0,순상 국민퇴육센터 등 해계무장에서 전라북도와 순상군이 후원해 지난 육 일부터 이을동안 열린대회는 예상보다 많은 일천 여명 찬가의 응비를 실강해했다
p00_u19,p00,taps,특히 참가 선수는 모두 동모인으로 열량별 상별 경기 방식에 따라 칠십위주로 나는 경계가 진행됐다
p00_u19,p00,ce0.0,특히 참가 선수는 모두 동모인으로 열락별 삼별 경기 방식에 따라 실십위주로 나는 경계가 진행됐다
p00_u19,p00,ce0.1,특히 참가 선수는 모두 동모인으로 열락별 삼별 경기 방식에 따라 침십계주로 나는 경계가 진행됐다
p00_u19,p00,ce0.5,급히 참가 선수는 모두 동우인으로 열락별 향별 경기 방식에 따라 십패주로 나는 경계가 진행됐다
p00_u19,p00,ce1.0,특히 참감 호수는 모두 동우인으로 면락별 성별 경비방식에 따라 심티 계주로 나는 경계가 진행됐다
p00_u19,p00,ce2.0,특히 참감 선수는 모두 동모인으로 열락별 삼별 경기 방식에 따라 칠십 패 주로 나은 경기가 진행됐다
p00_u19,p00,ce5.0,특히 참가 선수는 모두 동은인으로 열락별 삼별 경계 방식에 따라 한십 제 주로 나는 경계가 진행됐다
p00_u19,p00,ce10.0,특히 참감 선수는 모두 동은인으로 열령별 삼별 경비방식에 따라 실십 제주로 나는 경고가 진행됐다
p00_u20,p00,taps,애초 국민체육센터와 장애인 체육권 등 두고민석 대외가 진행될 예정이었으나 일천 여명이 찬가를 희명하자 순천 제 일보 체육관까지 대간해 세계 부장에서 치뤄졌다
p00_u20,p00,ce0.0,애초 국민체육센터와 장애인 체육권 등 두번에서 대외가 진행될 예정이었으나 일천 여명이 찬가를 희명하자 순천 제 일부 체육관까지 대간해 세계 부장에서 치뤄졌다
