utt,spk,cond,hyp
p00_u19,p00,ce0.1,특기 참가운 호수는 모두 통원인으로 열령별 상별 경기 방식에 따라 친식개교로 나호 경기가 지행댔다
p00_u19,p00,ce0.5,특히 창가운 손수는 모두 통회인으로 연령별 상별 경기 방식에 따라 친식폐요로 나더 경기가 지냥댔다
p00_u19,p00,ce1.0,특히 참가운 손수는 모두 통회인으로 열령별 성별 경비 방식에 따라 친찍개조로 나누 경기가 지행됩다
p00_u19,p00,ce2.0,특히 참가운 손수는 모두 통원인으로 열령별 상별 경기 방식에 따라 친식표조로 나누 경기가 지행졌다
p00_u19,p00,ce5.0,특히 참가운 손수는 모두 동원인으로 연령별 상별 경기 방식겠 따라 1십패조로 나누 경기가 지행댔다
p00_u19,p00,ce10.0,특기 참가운 손수는 모두 통원인으로 연령별 성별 경기 방식에 따라 7찍개조로 나너 경기가 지형했다
p00_u20,p00,taps,에초 공민체우센토와 장애인 체육관등 두구 후서 대획가 지행될 예정었으나 일천년명이 창가를 희망하자 큰천 제일구 체육관가리 대간에 책기에 구장에서 치어졌다
p00_u20,p00,ce0.0,에초 국민체육센토와 장애인 체육관등 두고준서 대획가 지행될 예정이었으나 일천 년명이 창가를 희망하자 흔천 제일구 체육관가리 대간에 책계 구장에서 치어졌다
p00_u20,p00,ce0.1,에초 국민체우센터와 장애인 채육관등 두곳에서 대획가 지행될 예정었으나 일천0 년망이 창가를 희망하자 순천 죄일부 체육관까이 대간에 세계 구장에 혀치어졌다
p00_u20,p00,ce0.5,에초 국문 체육센토와 장행은 체육관등 두고에서 대획가 지행될 예정었으나 일천 년명이 창가를 희망하자 순천 제일구 체육관까리 대간에 태개 구장에서 치어졌다
p00_u20,p00,ce1.0,에초 국민 체육센토와 장행인 체획관등 두구질서 대획가 지행별 예정렸으나 입0여명의 창가를 희망하자 흔천 죄일부 체육관가리 대간에 세기에 구장에서 치어졌다
